time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,e_p_x,e_p_y,e_p_z,pdot_x,pdot_y,pdot_z,f_x,f_y,f_z,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.093000,0.316447,-0.000060,0.510107,0.326855,0.000042,0.486848,0.010407,0.000103,-0.023259,0.198611,-0.001379,0.531383,-2.931487,0.037845,-12.953594,0.019563,-1.142824,-0.673278,15.062806,0.767571,0.368037,0.001430
0.094000,0.316652,-0.000065,0.510650,0.326855,0.000042,0.486848,0.010203,0.000108,-0.023802,0.199024,-0.002919,0.532761,-2.960200,0.069140,-13.035473,0.025748,-1.128155,-0.667337,15.014203,0.773472,0.352889,0.001450
0.095000,0.316852,-0.000068,0.511188,0.326855,0.000042,0.486848,0.010003,0.000110,-0.024340,0.198999,-0.003141,0.534446,-2.979715,0.073853,-13.122884,0.027909,-1.112851,-0.664243,14.964933,0.774514,0.338927,0.001467
0.096000,0.317055,-0.000073,0.511730,0.326855,0.000042,0.486848,0.009800,0.000116,-0.024882,0.200277,-0.004152,0.535775,-3.025559,0.094600,-13.203711,0.031963,-1.094560,-0.659961,14.910000,0.778250,0.320325,0.001459
0.097000,0.317257,-0.000071,0.512282,0.326855,0.000042,0.486848,0.009598,0.000114,-0.025434,0.199175,-0.001903,0.538806,-3.023682,0.049463,-13.319496,0.021719,-1.070659,-0.668945,14.847468,0.769320,0.307165,0.001460
0.098000,0.317454,-0.000069,0.512840,0.326855,0.000042,0.486848,0.009400,0.000112,-0.025992,0.199144,0.000366,0.545037,-3.042852,0.003878,-13.499909,0.012464,-1.035467,-0.676964,14.748861,0.760284,0.282090,0.001453
0.099000,0.317659,-0.000066,0.513407,0.326855,0.000042,0.486848,0.009196,0.000108,-0.026559,0.200813,0.001123,0.552879,-3.096631,-0.011636,-13.713512,0.005979,-0.999811,-0.684153,14.630810,0.756494,0.246165,0.001481
0.100000,0.317857,-0.000060,0.513971,0.326855,0.000042,0.486848,0.008998,0.000103,-0.027123,0.200188,0.003829,0.558799,-3.103999,-0.066306,-13.888287,-0.009341,-0.968103,-0.700691,14.538506,0.745050,0.223957,0.001474
0.101000,0.318061,-0.000057,0.514553,0.326855,0.000042,0.486848,0.008794,0.000100,-0.027705,0.200985,0.003982,0.568541,-3.140314,-0.069679,-14.141362,-0.007708,-0.930665,-0.698443,14.407971,0.744463,0.186689,0.001513
0.102000,0.318267,-0.000055,0.515137,0.326855,0.000042,0.486848,0.008588,0.000098,-0.028289,0.201694,0.003431,0.571820,-3.175089,-0.058865,-14.265314,-0.003849,-0.908759,-0.693440,14.336961,0.746659,0.164972,0.001535
