time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,p_end_x,p_end_y,p_end_z,e_p_x,e_p_y,e_p_z,pdot_x,pdot_y,pdot_z,f_x,f_y,f_z,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.081000,0.313574,-0.000061,0.503454,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.006741,0.000112,-0.016464,0.161627,-0.004209,0.440762,-3.906663,0.095388,-10.461624,0.036893,-1.858920,-0.657240,16.218445,0.781663,0.438778,0.000822
0.082000,0.313744,-0.000066,0.503911,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.006911,0.000116,-0.016921,0.163555,-0.003714,0.446705,-3.962181,0.085921,-10.626211,0.033456,-1.831716,-0.660313,16.127062,0.779459,0.409798,0.000849
0.083000,0.313917,-0.000070,0.504376,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.007084,0.000121,-0.017386,0.166166,-0.004252,0.454031,-4.031697,0.097139,-10.819226,0.035786,-1.803533,-0.657914,16.022271,0.781467,0.374823,0.000889
0.084000,0.314089,-0.000076,0.504840,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.007256,0.000126,-0.017850,0.166984,-0.004564,0.461057,-4.065260,0.103894,-11.006145,0.036110,-1.773100,-0.657619,15.924754,0.782496,0.347663,0.000926
0.085000,0.314264,-0.000078,0.505314,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.007431,0.000129,-0.018324,0.168491,-0.003347,0.465642,-4.112909,0.079800,-11.145260,0.030449,-1.751195,-0.662372,15.847186,0.777604,0.322935,0.000945
0.086000,0.314437,-0.000080,0.505789,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.007604,0.000131,-0.018799,0.169988,-0.002827,0.469078,-4.160181,0.069643,-11.261426,0.027503,-1.731196,-0.664687,15.778980,0.775373,0.300775,0.000957
0.087000,0.314612,-0.000083,0.506272,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.007779,0.000134,-0.019282,0.170490,-0.001759,0.472031,-4.187661,0.048545,-11.368823,0.023367,-1.711934,-0.667591,15.718381,0.771225,0.283566,0.000964
0.088000,0.314790,-0.000083,0.506772,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.007956,0.000134,-0.019782,0.172930,-0.001272,0.480408,-4.254231,0.038821,-11.586405,0.020489,-1.679149,-0.670355,15.601351,0.769008,0.246079,0.001002
0.089000,0.314964,-0.000085,0.507264,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.008131,0.000136,-0.020274,0.173821,-0.001330,0.484650,-4.289512,0.040218,-11.720402,0.020246,-1.653033,-0.670508,15.524314,0.768959,0.224132,0.000999
0.090000,0.315146,-0.000087,0.507781,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.008313,0.000138,-0.020791,0.176211,-0.001688,0.494173,-4.355518,0.047523,-11.962508,0.022426,-1.615506,-0.668348,15.394668,0.770173,0.183771,0.001029
0.091000,0.315326,-0.000088,0.508297,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.008492,0.000139,-0.021307,0.179338,-0.001762,0.503329,-4.435993,0.049124,-12.197266,0.021965,-1.582737,-0.669162,15.268362,0.770105,0.141275,0.001077
0.092000,0.315512,-0.000089,0.508834,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.008678,0.000140,-0.021844,0.181440,-0.001947,0.513322,-4.496636,0.052892,-12.450848,0.022166,-1.545294,-0.669352,15.135339,0.770483,0.100464,0.001123
0.093000,0.315700,-0.000091,0.509380,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.008867,0.000141,-0.022390,0.182942,-0.002236,0.521799,-4.545517,0.058854,-12.674935,0.022939,-1.512334,-0.668704,15.018439,0.771375,0.065279,0.001173
0.094000,0.315886,-0.000092,0.509905,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.009052,0.000142,-0.022915,0.183629,-0.002355,0.524357,-4.577835,0.061314,-12.778598,0.024187,-1.499380,-0.666947,14.962883,0.771912,0.047259,0.001205
0.095000,0.316074,-0.000097,0.510435,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.009241,0.000148,-0.023445,0.185385,-0.003891,0.525267,-4.631776,0.092606,-12.849832,0.031454,-1.487650,-0.659102,14.915448,0.777960,0.028549,0.001221
0.096000,0.316259,-0.000100,0.510974,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.009425,0.000151,-0.023984,0.183603,-0.002879,0.527437,-4.614600,0.072678,-12.947135,0.028496,-1.465780,-0.660721,14.864718,0.774182,0.020957,0.001210
0.097000,0.316441,-0.000100,0.511501,0.306833,0.000051,0.486990,0.316833,0.000051,0.486990,-0.009608,0.000151,-0.024511,0.183084,-0.001931,0.527382,-4.622465,0.053708,-12.998727,0.022299,-1.448741,-0.666333,14.828617,0.770038,0.013552,0.001191
