time,p_EE_x,p_EE_y,p_EE_z,p_d_x,p_d_y,p_d_z,e_p_x,e_p_y,e_p_z,e_R_x,e_R_y,e_R_z,pdot_x,pdot_y,pdot_z,omega_x,omega_y,omega_z,f_x,f_y,f_z,m_x,m_y,m_z,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.061000,0.306724,-0.000029,0.486534,0.306803,0.000002,0.486776,0.000080,0.000031,0.000243,-0.000164,-0.000475,0.000013,-0.002109,0.000707,-0.001114,-0.000139,-0.000060,0.003351,0.051737,-0.011023,0.046525,-0.000019,-0.000830,-0.006659,-0.010046,-0.007120,-0.008305,0.029386,-0.002331,0.015810,0.006658
0.062000,0.306721,-0.000028,0.486529,0.306803,0.000002,0.486776,0.000083,0.000030,0.000248,-0.000166,-0.000484,0.000010,-0.002164,0.000579,-0.002945,0.000545,0.004389,0.003126,0.053209,-0.008590,0.083666,-0.002762,-0.009746,-0.006216,-0.008849,-0.027227,-0.005239,0.056034,-0.004554,0.028299,0.006212
0.063000,0.306717,-0.000027,0.486524,0.306803,0.000002,0.486776,0.000086,0.000029,0.000253,-0.000165,-0.000494,0.000011,-0.002237,0.001260,-0.003908,-0.000217,0.007504,0.003413,0.055056,-0.022266,0.103413,0.000292,-0.015996,-0.006789,-0.013624,-0.039288,-0.012262,0.071854,-0.004376,0.036672,0.006780
0.064000,0.306714,-0.000028,0.486521,0.306803,0.000002,0.486776,0.000089,0.000030,0.000255,-0.000168,-0.000495,0.000014,-0.002697,0.000518,-0.002992,0.001088,0.004196,0.000807,0.064684,-0.007327,0.085330,-0.004942,-0.009380,-0.001564,-0.003810,-0.025590,0.000002,0.057907,-0.006472,0.030491,0.001561
0.065000,0.306712,-0.000028,0.486516,0.306803,0.000002,0.486776,0.000092,0.000030,0.000260,-0.000168,-0.000504,0.000015,-0.002335,0.000264,-0.004328,0.000728,0.007330,-0.000442,0.057682,-0.002269,0.112606,-0.003500,-0.015669,0.000938,0.000247,-0.041371,0.002413,0.076190,-0.003962,0.037699,-0.000946
0.066000,0.306709,-0.000030,0.486515,0.306803,0.000002,0.486776,0.000095,0.000032,0.000262,-0.000170,-0.000502,0.000019,-0.002222,-0.000534,-0.003924,0.001138,0.006521,-0.001570,0.055787,0.013899,0.104639,-0.005147,-0.014046,0.003206,0.007483,-0.037588,0.010460,0.070560,-0.002209,0.034976,-0.003211
0.067000,0.306706,-0.000030,0.486509,0.306803,0.000002,0.486776,0.000097,0.000032,0.000267,-0.000167,-0.000513,0.000019,-0.002475,0.000803,-0.004385,0.004260,0.007338,-0.000920,0.061131,-0.012905,0.114430,-0.017624,-0.015703,0.001906,-0.002052,-0.041428,0.009627,0.077528,-0.020324,0.038621,-0.001906
0.068000,0.306704,-0.000030,0.486506,0.306803,0.000002,0.486776,0.000099,0.000032,0.000271,-0.000169,-0.000518,0.000018,-0.002666,0.000523,-0.003641,0.003856,0.004903,-0.000410,0.065226,-0.007254,0.099893,-0.016015,-0.010841,0.000885,-0.001336,-0.031444,0.009612,0.066313,-0.017528,0.033345,-0.000883
0.069000,0.306701,-0.000032,0.486499,0.306803,0.000002,0.486776,0.000102,0.000034,0.000278,-0.000170,-0.000532,0.000021,-0.002428,-0.000336,-0.004570,0.003082,0.008004,-0.001056,0.060785,0.010151,0.119180,-0.012920,-0.017072,0.002186,0.005311,-0.044321,0.014021,0.081094,-0.010767,0.040331,-0.002189
0.070000,0.306698,-0.000032,0.486496,0.306803,0.000002,0.486776,0.000105,0.000034,0.000280,-0.000163,-0.000536,0.000020,-0.003046,-0.000043,-0.004669,0.000096,0.007314,-0.000289,0.073555,0.004247,0.121363,-0.000953,-0.015700,0.000648,0.001948,-0.041627,0.002527,0.082366,-0.000044,0.041838,-0.000657
